epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,231.979,1.78298,2.97858,1.15638,0.70948,0.61233,0.65249,0.33743,1.44236,2.93746,0.98373,0.0033302,0.0033302,0.0033302
2,444.861,1.77252,1.64397,1.17073,0.73382,0.6899,0.72732,0.36312,1.48865,1.41484,1.02049,0.00658107,0.00658107,0.00658107
3,657.41,1.83442,1.43063,1.22257,0.71051,0.5812,0.63331,0.31332,1.59384,2.1988,1.10657,0.00974944,0.00974944,0.00974944
4,868.388,1.86608,1.365,1.26674,0.7747,0.69466,0.73553,0.35313,1.52406,1.21852,1.08905,0.00962875,0.00962875,0.00962875
5,1077.72,1.80914,1.24558,1.23657,0.80595,0.69322,0.76979,0.37505,1.45337,0.98658,1.05573,0.009505,0.009505,0.009505
6,1288.26,1.75384,1.17536,1.21577,0.77596,0.71911,0.79395,0.41055,1.44915,1.09237,1.04858,0.00938125,0.00938125,0.00938125
7,1499.02,1.72562,1.12679,1.20362,0.84235,0.76071,0.82679,0.44037,1.37267,0.95046,1.01048,0.0092575,0.0092575,0.0092575
8,1708.79,1.68385,1.07704,1.17537,0.83352,0.75245,0.8174,0.4367,1.37779,0.87971,1.00722,0.00913375,0.00913375,0.00913375
9,1918.25,1.66698,1.05163,1.16339,0.875,0.77528,0.85194,0.4523,1.3612,0.87527,0.99351,0.00901,0.00901,0.00901
10,2130.33,1.63977,1.02372,1.14756,0.85165,0.77319,0.85236,0.47819,1.32868,0.9208,0.98692,0.00888625,0.00888625,0.00888625
11,2338.74,1.62154,0.99429,1.13953,0.86816,0.78166,0.8694,0.4903,1.30316,0.812,0.97334,0.0087625,0.0087625,0.0087625
12,2547.98,1.60996,0.98358,1.1289,0.88378,0.79483,0.8739,0.49429,1.32044,0.7647,0.97152,0.00863875,0.00863875,0.00863875
13,2756.38,1.57857,0.96051,1.1186,0.87482,0.81337,0.88567,0.50555,1.26754,0.77931,0.95201,0.008515,0.008515,0.008515
14,2964.6,1.58571,0.94788,1.11822,0.87396,0.84111,0.89623,0.51585,1.26572,0.7821,0.95172,0.00839125,0.00839125,0.00839125
15,3172.93,1.56533,0.93392,1.11193,0.88728,0.82597,0.89333,0.51206,1.24254,0.73796,0.94559,0.0082675,0.0082675,0.0082675
16,3381.86,1.55234,0.92023,1.10934,0.87072,0.84405,0.89909,0.51657,1.23853,0.79506,0.94122,0.00814375,0.00814375,0.00814375
17,3590.18,1.54832,0.90866,1.09869,0.90075,0.83872,0.90284,0.5282,1.22803,0.70312,0.93769,0.00802,0.00802,0.00802
18,3797.66,1.53752,0.89637,1.09475,0.88834,0.85421,0.90869,0.53271,1.22649,0.68648,0.9236,0.00789625,0.00789625,0.00789625
19,4004.31,1.53135,0.88516,1.08907,0.89685,0.86087,0.91552,0.5384,1.21447,0.65332,0.92626,0.0077725,0.0077725,0.0077725
20,4211.32,1.52141,0.8757,1.08586,0.90336,0.83554,0.90834,0.54719,1.1952,0.65642,0.9133,0.00764875,0.00764875,0.00764875
21,4419.37,1.50296,0.8638,1.07813,0.89856,0.8532,0.91526,0.54951,1.20138,0.69972,0.92026,0.007525,0.007525,0.007525
22,4626.73,1.49816,0.85278,1.07458,0.89808,0.85367,0.91272,0.54797,1.19304,0.64557,0.91241,0.00740125,0.00740125,0.00740125
23,4834.33,1.49744,0.84626,1.07111,0.89057,0.86903,0.92111,0.5541,1.17602,0.65595,0.91017,0.0072775,0.0072775,0.0072775
24,5042.12,1.48996,0.84467,1.06907,0.89223,0.86816,0.92288,0.55588,1.17219,0.63059,0.90784,0.00715375,0.00715375,0.00715375
25,5249.03,1.4822,0.83922,1.06713,0.90305,0.84668,0.91529,0.55293,1.17418,0.62187,0.90429,0.00703,0.00703,0.00703
26,5456.34,1.46584,0.82284,1.06528,0.90641,0.86334,0.92921,0.56684,1.15894,0.60423,0.898,0.00690625,0.00690625,0.00690625
27,5664.03,1.46038,0.8174,1.05942,0.90425,0.86577,0.92389,0.56615,1.15708,0.59489,0.89726,0.0067825,0.0067825,0.0067825
28,5871.56,1.46537,0.81772,1.0599,0.90458,0.87443,0.9268,0.5681,1.14831,0.63807,0.89612,0.00665875,0.00665875,0.00665875
29,6080.09,1.46014,0.80419,1.05304,0.89951,0.87842,0.92714,0.57272,1.14119,0.60651,0.89419,0.006535,0.006535,0.006535
30,6287.73,1.45399,0.80179,1.05538,0.89776,0.89657,0.93288,0.57512,1.14028,0.58801,0.89542,0.00641125,0.00641125,0.00641125
31,6495.24,1.45252,0.79779,1.05417,0.8915,0.89709,0.92859,0.57686,1.14062,0.57252,0.89177,0.0062875,0.0062875,0.0062875
32,6702.35,1.43682,0.7927,1.05071,0.90181,0.89258,0.93418,0.58152,1.12718,0.57371,0.8882,0.00616375,0.00616375,0.00616375
33,6908.44,1.42244,0.77817,1.04334,0.90381,0.88203,0.92901,0.57839,1.12805,0.5771,0.88829,0.00604,0.00604,0.00604
34,7115.75,1.42429,0.78115,1.04701,0.88019,0.90333,0.9323,0.5809,1.12474,0.57411,0.88742,0.00591625,0.00591625,0.00591625
35,7322.45,1.42227,0.77818,1.04149,0.889,0.89261,0.93157,0.57917,1.12003,0.57795,0.88563,0.0057925,0.0057925,0.0057925
36,7530.64,1.4143,0.76959,1.04109,0.89656,0.90296,0.93535,0.58341,1.11259,0.55654,0.88289,0.00566875,0.00566875,0.00566875
37,7741.06,1.41512,0.76198,1.03738,0.90101,0.90236,0.93708,0.58634,1.11015,0.55585,0.88053,0.005545,0.005545,0.005545
38,7949.55,1.40951,0.75682,1.03586,0.89643,0.89986,0.93824,0.59113,1.10597,0.54912,0.8799,0.00542125,0.00542125,0.00542125
39,8156.84,1.39883,0.75069,1.03398,0.90949,0.90021,0.94158,0.59409,1.10375,0.55617,0.87911,0.0052975,0.0052975,0.0052975
40,8365.02,1.39997,0.75043,1.03042,0.9122,0.90786,0.94189,0.59291,1.10113,0.55103,0.87844,0.00517375,0.00517375,0.00517375
41,8572.38,1.39523,0.74576,1.03037,0.91636,0.89709,0.9392,0.59417,1.09884,0.54728,0.87782,0.00505,0.00505,0.00505
42,8779.9,1.38942,0.74585,1.02968,0.90421,0.90958,0.9402,0.59538,1.09891,0.54351,0.878,0.00492625,0.00492625,0.00492625
43,8987.31,1.38202,0.73695,1.02785,0.9099,0.90262,0.94072,0.59546,1.09558,0.54287,0.87682,0.0048025,0.0048025,0.0048025
44,9193.66,1.38188,0.73378,1.0271,0.91488,0.89818,0.9407,0.5977,1.09346,0.54067,0.87586,0.00467875,0.00467875,0.00467875
45,9400.27,1.37323,0.72758,1.02186,0.91462,0.90221,0.94196,0.60023,1.09095,0.53934,0.8742,0.004555,0.004555,0.004555
46,9607.78,1.37802,0.73066,1.02586,0.9139,0.89129,0.93838,0.59884,1.08909,0.54096,0.87428,0.00443125,0.00443125,0.00443125
47,9816.25,1.36576,0.72238,1.024,0.91619,0.89537,0.94,0.59949,1.08716,0.53988,0.87349,0.0043075,0.0043075,0.0043075
48,10024.2,1.36125,0.71356,1.02199,0.90994,0.90094,0.94053,0.60045,1.08663,0.53573,0.87343,0.00418375,0.00418375,0.00418375
49,10233.2,1.35952,0.70963,1.01491,0.91498,0.89907,0.94077,0.6026,1.08448,0.53295,0.87216,0.00406,0.00406,0.00406
50,10442,1.34911,0.708,1.01312,0.91507,0.90031,0.94249,0.60498,1.08216,0.53187,0.87136,0.00393625,0.00393625,0.00393625
51,10649.1,1.34727,0.70748,1.01048,0.91934,0.8997,0.94285,0.60582,1.07834,0.52927,0.87021,0.0038125,0.0038125,0.0038125
52,10856.7,1.34428,0.70691,1.0131,0.9198,0.89771,0.9424,0.60604,1.07612,0.52864,0.8698,0.00368875,0.00368875,0.00368875
53,11064.6,1.33626,0.69999,1.00828,0.92333,0.89695,0.94372,0.60847,1.07321,0.52896,0.86899,0.003565,0.003565,0.003565
54,11273.3,1.33015,0.68754,1.00974,0.92649,0.90063,0.94505,0.6093,1.07117,0.52783,0.86839,0.00344125,0.00344125,0.00344125
55,11481.4,1.32957,0.68909,1.00687,0.92412,0.90001,0.94562,0.60928,1.06945,0.5279,0.86778,0.0033175,0.0033175,0.0033175
56,11689.1,1.32933,0.68815,1.00562,0.92436,0.90097,0.94569,0.61009,1.06763,0.52645,0.86728,0.00319375,0.00319375,0.00319375
57,11896.1,1.31354,0.68349,0.99971,0.92407,0.90196,0.94591,0.61114,1.0669,0.5237,0.86687,0.00307,0.00307,0.00307
58,12100,1.31165,0.67944,0.99977,0.92384,0.9036,0.94581,0.61184,1.06493,0.52106,0.86594,0.00294625,0.00294625,0.00294625
59,12306.1,1.31447,0.67867,0.99877,0.92281,0.90348,0.94491,0.61153,1.06339,0.51799,0.86534,0.0028225,0.0028225,0.0028225
60,12512.9,1.30156,0.67031,0.99866,0.92105,0.90233,0.94341,0.61111,1.06226,0.51552,0.86496,0.00269875,0.00269875,0.00269875
61,12719.2,1.30152,0.66828,0.99641,0.92142,0.90477,0.94548,0.61233,1.06091,0.51485,0.86431,0.002575,0.002575,0.002575
62,12927.2,1.29779,0.66713,0.99506,0.92201,0.90841,0.94653,0.61343,1.05995,0.51303,0.86392,0.00245125,0.00245125,0.00245125
63,13136.2,1.28456,0.65324,0.99365,0.92183,0.90894,0.94667,0.61426,1.05993,0.51143,0.86364,0.0023275,0.0023275,0.0023275
64,13343.4,1.28306,0.65136,0.99162,0.92339,0.90852,0.94722,0.6149,1.05891,0.51016,0.86326,0.00220375,0.00220375,0.00220375
65,13551.5,1.2822,0.64727,0.99037,0.92184,0.91062,0.94657,0.61525,1.05802,0.50936,0.86294,0.00208,0.00208,0.00208
66,13758.4,1.27019,0.6479,0.98763,0.91936,0.91394,0.94774,0.61496,1.05722,0.5088,0.86245,0.00195625,0.00195625,0.00195625
67,13965,1.2691,0.64277,0.98587,0.91883,0.91538,0.94767,0.61536,1.0562,0.50795,0.86206,0.0018325,0.0018325,0.0018325
68,14171.3,1.26876,0.63979,0.98472,0.91798,0.91664,0.94908,0.61604,1.05567,0.50797,0.86157,0.00170875,0.00170875,0.00170875
69,14378.9,1.26036,0.63896,0.9837,0.91738,0.91598,0.9488,0.61688,1.05503,0.50712,0.86116,0.001585,0.001585,0.001585
70,14588.4,1.24772,0.62642,0.98083,0.91714,0.91652,0.94869,0.61715,1.05443,0.50685,0.86102,0.00146125,0.00146125,0.00146125
71,14789.8,1.2258,0.59722,0.98234,0.91931,0.9137,0.94879,0.61752,1.05368,0.50672,0.8607,0.0013375,0.0013375,0.0013375
